OrderDate,ProdId,Quantity
2019-08-08,113,1.0000
2019-08-08,130,2.0000
2019-08-08,131,30.0000
2019-08-08,145,1.0000
2019-08-08,146,5.0000
2019-08-08,165,1.0000
2019-08-08,166,10.0000
2019-08-08,168,1.0000
2019-08-08,169,3.0000
2019-08-08,170,2.0000
2019-08-08,172,2.0000
2019-08-08,212,3.0000
2019-08-08,213,3.0000
2019-08-08,214,3.0000
2019-08-08,215,1.0000
2019-08-08,219,1.0000
2019-08-08,231,2.0000
2019-08-08,232,3.0000
2019-08-08,233,2.0000
2019-08-08,234,2.0000
2019-08-08,237,2.0000
2019-08-08,238,1.0000
2019-08-08,239,1.0000
2019-08-08,272,1.0000
2019-08-08,273,3.0000
2019-08-08,305,3.0000
2019-08-08,318,1.0000
2019-08-08,347,1.0000
2019-08-08,367,1.0000
2019-08-08,402,1.0000
2019-08-08,403,1.0000
2019-08-08,404,1.0000
2019-08-08,420,1.0000
2019-08-08,421,2.0000
2019-08-08,422,20.0000
2019-08-08,423,100.0000
2019-08-08,424,3.0000
2019-08-08,425,20.0000
2019-08-08,426,2.0000
2019-08-08,427,20.0000
2019-08-08,428,2.0000
2019-08-08,432,4.0000
2019-08-08,434,2.0000
2019-08-08,436,1.0000
2019-08-08,445,2.0000
2019-08-08,446,3.0000
2019-08-08,458,4.0000
2019-08-08,459,8.0000
2019-08-08,461,3.0000
2019-08-08,464,5.0000
2019-08-08,466,2.0000
2019-08-08,469,1.0000
2019-08-08,552,1.0000
2019-08-08,556,1.0000
2019-08-08,560,3.0000
2019-08-08,605,2.0000
2019-08-08,609,2.0000
2019-08-08,610,30.0000
2019-08-08,613,1.0000
2019-08-08,614,1.0000
2019-08-08,623,1.0000
2019-08-08,625,3.0000
2019-08-08,628,2.0000
2019-08-08,629,1.0000
2019-08-08,630,5.0000
2019-08-08,632,3.0000
2019-08-08,633,10.0000
2019-08-08,634,1.0000
2019-08-08,635,3.0000
2019-08-08,638,2.0000
2019-08-08,647,10.0000
2019-08-08,648,2.0000
2019-08-08,786,7.0000
2019-08-08,787,2.0000
2019-08-08,788,1.0000
2019-08-08,789,2.0000
2019-08-08,790,2.0000
2019-08-08,792,1.0000
2019-08-08,793,2.0000
2019-08-08,795,2.0000
2019-08-08,814,1.0000
2019-08-08,888,2.0000
2019-08-08,897,1.0000
2019-08-08,898,1.0000
2019-08-08,900,1.0000
2019-08-08,899,1.0000
2019-08-08,5000,1.0000
2019-08-08,925,2.0000
2019-08-08,997,2.0000
2019-08-08,1001,1.0000
2019-08-08,1002,3.0000
2019-08-08,1007,5.0000
2019-08-08,1008,5.0000
2019-08-08,644,1.0000
2019-08-08,1045,1.0000
2019-08-08,1059,1.0000
2019-08-08,1097,1.0000
2019-08-08,1110,1.0000
2019-08-08,1111,1.0000
2019-08-08,1123,1.0000
2019-08-08,1145,2.0000
2019-08-08,1150,1.0000
2019-08-08,1167,1.0000
2019-08-08,1168,2.0000
2019-08-08,1174,3.0000
2019-08-08,1175,2.0000
2019-08-08,1176,4.0000
2019-08-08,1179,3.0000
2019-08-08,1185,2.0000
2019-08-08,1211,2.0000
2019-08-08,1212,2.0000
2019-08-08,1213,2.0000
2019-08-08,1241,1.0000
2019-08-08,1260,2.0000
2019-08-08,1261,10.0000
2019-08-08,1262,4.0000
2019-08-08,1263,10.0000
2019-08-08,1291,2.0000
2019-08-08,1292,2.0000
2019-08-08,1293,2.0000
2019-08-08,1297,1.0000
2019-08-08,1298,1.0000
2019-08-08,1341,1.0000
2019-08-08,1344,1.0000
2019-08-08,1361,1.0000
2019-08-08,1362,1.0000
2019-08-08,1363,1.0000
2019-08-08,1364,10.0000
2019-08-08,1365,1.0000
2019-08-08,1366,10.0000
2019-08-08,1378,1.0000
2019-08-08,1394,2.0000
2019-08-08,1396,2.0000
2019-08-08,1400,2.0000
2019-08-08,1415,1.0000
2019-08-08,1428,1.0000
2019-08-08,1434,1.0000
2019-08-08,1435,2.0000
2019-08-08,1436,1.0000
2019-08-08,1437,2.0000
2019-08-08,1445,1.0000
2019-08-08,1460,2.0000
2019-08-08,1461,2.0000
2019-08-08,1463,3.0000
2019-08-08,1570,10.0000
2019-08-08,1571,2.0000
2019-08-08,1572,12.0000
2019-08-08,1577,2.0000
2019-08-08,1578,10.0000
2019-08-08,1579,3.0000
2019-08-08,1584,2.0000
2019-08-08,1614,1.0000
2019-08-08,1626,1.0000
2019-08-08,1627,3.0000
2019-08-08,1630,2.0000
2019-08-08,1638,1.0000
2019-08-08,1681,10.0000
2019-08-08,1694,2.0000
2019-08-08,1682,1.0000
2019-08-08,1684,4.0000
2019-08-08,1683,5.0000
2019-08-08,1685,2.0000
2019-08-08,1686,2.0000
2019-08-08,1690,2.0000
2019-08-08,1691,2.0000
2019-08-08,1695,2.0000
2019-08-08,1719,1.0000
2019-08-08,1721,2.0000
2019-08-08,1730,1.0000
2019-08-08,1744,1.0000
2019-08-08,1746,2.0000
2019-08-08,1777,2.0000
2019-08-08,1778,1.0000
2019-08-08,1786,1.0000
2019-08-08,1798,1.0000
2019-08-08,1840,2.0000
2019-08-08,1868,2.0000
2019-08-08,1880,1.0000
2019-08-08,1884,1.0000
2019-08-08,1887,1.0000
2019-08-08,1888,3.0000
2019-08-08,1950,1.0000
2019-08-08,1951,1.0000
2019-08-08,1952,1.0000
2019-08-08,2011,3.0000
2019-08-08,2013,1.0000
2019-08-08,2048,2.0000
2019-08-08,2051,1.0000
2019-08-08,2052,1.0000
2019-08-08,2069,2.0000
2019-08-08,2070,1.0000
2019-08-08,2129,50.0000
2019-08-08,2131,3.0000
2019-08-08,2133,1.0000
2019-08-08,2138,2.0000
2019-08-08,2162,1.0000
2019-08-08,2173,1.0000
2019-08-07,194,5.0000
2019-08-07,277,2.0000
2019-08-07,639,1.0000
2019-08-07,1157,2.0000
2019-08-07,1209,1.0000
2019-08-07,3679,50.0000
2019-08-06,218,1.0000
2019-08-06,599,1.0000
2019-08-06,602,5.0000
2019-08-21,735,1.0000
2019-08-13,1187,2.0000
2019-08-07,3993,1.0000
2019-08-07,3996,1.0000
2019-08-07,3997,1.0000
2019-08-07,3998,1.0000
2019-08-07,3999,1.0000
2019-08-07,4000,1.0000
2019-08-07,4001,1.0000
2019-08-07,4002,1.0000
2019-08-07,4004,1.0000
2019-08-07,4005,1.0000
2019-08-07,4006,1.0000
2019-08-07,4016,1.0000
2019-08-07,4017,1.0000
2019-08-07,4018,1.0000
2019-08-07,4020,1.0000
2019-08-07,4021,1.0000
2019-08-07,4022,1.0000
2019-08-07,4033,1.0000
2019-08-07,4036,1.0000
2019-09-26,3015,5.0000
2019-09-26,3035,3.0000
2019-08-08,2178,2.0000
2019-08-08,2179,2.0000
2019-08-08,2180,1.0000
2019-08-08,2195,1.0000
2019-08-08,2196,1.0000
2019-08-08,2199,1.0000
2019-08-08,2222,1.0000
2019-08-08,2241,1.0000
2019-08-08,2245,3.0000
2019-08-08,2246,1.0000
2019-08-08,2257,1.0000
2019-08-08,2283,1.0000
2019-08-08,2284,2.0000
2019-08-08,2285,1.0000
2019-08-08,2289,2.0000
2019-08-08,2290,3.0000
2019-08-08,2303,1.0000
2019-08-08,2306,3.0000
2019-08-08,2322,1.0000
2019-08-08,2365,1.0000
2019-08-08,2369,1.0000
2019-08-08,2391,1.0000
2019-08-08,2430,10.0000
2019-08-08,2443,2.0000
2019-08-08,3112,3.0000
2019-08-08,3116,3.0000
2019-08-08,3117,3.0000
2019-08-08,3118,2.0000
2019-08-08,3119,1.0000
2019-08-08,3159,2.0000
2019-08-08,3160,1.0000
2019-08-08,1494,2.0000
2019-08-08,1495,2.0000
2019-08-08,1512,1.0000
2019-08-08,1513,1.0000
2019-08-08,1517,1.0000
2019-08-08,1525,1.0000
2019-08-08,1558,20.0000
2019-08-08,1559,20.0000
2019-08-08,1562,1.0000
2019-08-08,1563,12.0000
2019-08-08,1564,3.0000
2019-08-08,1565,10.0000
2019-08-08,1566,4.0000
2019-08-08,1567,12.0000
2019-08-08,1569,10.0000
2019-08-08,1568,5.0000
2019-08-08,1957,4.0000
2019-08-08,4998,1.0000
2019-08-08,1971,2.0000
2019-08-08,1979,1.0000
2019-08-08,1993,1.0000
2019-08-08,410,3.0000
2019-08-08,463,2.0000
2019-08-08,798,1.0000
2019-08-08,1065,1.0000
2019-08-08,1182,1.0000
2019-08-07,107,1.0000
2019-08-07,108,1.0000
2019-08-07,294,1.0000
2019-08-07,296,1.0000
2019-08-07,297,1.0000
2019-08-07,298,1.0000
2019-08-07,299,1.0000
2019-08-07,300,1.0000
2019-08-07,477,1.0000
2019-08-07,481,1.0000
2019-08-07,495,1.0000
2019-08-07,499,1.0000
2019-08-07,500,1.0000
2019-08-07,501,1.0000
2019-08-07,1403,1.0000
2019-08-07,1410,1.0000
2019-08-07,1411,1.0000
2019-08-07,1412,1.0000
2019-08-07,1413,1.0000
2019-08-06,734,1.0000
2019-08-06,999,1.0000
2019-08-06,1373,1.0000
2019-08-06,4284,1.0000
2019-08-06,2892,1.0000
2019-08-06,2996,1.0000
2019-08-06,3080,1.0000
2019-08-06,4221,1.0000
2019-08-06,4849,1.0000
2019-08-07,1833,2.0000
2019-08-07,3645,1.0000
2019-08-07,3643,2.0000
2019-08-08,794,2.0000
2019-08-08,1004,1.0000
2019-08-08,2063,1.0000
2019-08-08,2115,2.0000
2019-08-08,2819,1.0000
2019-08-08,2842,1.0000
2019-08-08,2875,2.0000
2019-08-08,2876,50.0000
2019-08-08,4085,1.0000
2019-08-08,4086,1.0000
2019-08-08,4360,1.0000
2019-08-08,221,2.0000
2019-08-08,815,2.0000
2019-08-08,1062,1.0000
2019-08-08,1143,3.0000
2019-08-08,143,1.0000
2019-08-08,280,6.0000
2019-08-08,360,2.0000
2019-08-08,439,2.0000
2019-08-08,607,12.0000
2019-08-08,1496,1.0000
2019-08-08,1631,1.0000
2019-08-08,1882,1.0000
2019-08-08,1968,1.0000
2019-08-08,2154,3.0000
2019-08-08,2198,1.0000
2019-08-08,2936,4.0000
2019-08-08,2815,1.0000
2019-08-08,3288,1.0000
2019-08-08,4162,1.0000
2019-08-08,4224,1.0000
2019-08-08,4814,1.0000
2019-08-08,4927,2.0000
2019-08-08,1476,3.0000
2019-08-08,1964,1.0000
2019-08-08,2223,1.0000
2019-08-08,2390,10.0000
2019-08-08,2413,6.0000
2019-08-08,2814,1.0000
2019-08-08,3984,1.0000
2019-08-08,4239,10.0000
2019-08-08,4420,1.0000
2019-08-08,4764,1.0000
2019-08-08,4815,10.0000
2019-08-08,4848,1.0000
